Data,Open,High,Low,Close,Volume,OI
2016-02-19 00:00:00,1.95,2.03,1.92,1.99,158322,828
2016-02-22 00:00:00,2.03,2.03,1.95,1.99,132970,129
2016-02-23 00:00:00,1.95,2.07,1.92,1.95,127484,140
2016-02-24 00:00:00,1.92,2.22,1.92,2.14,644661,621
2016-02-25 00:00:00,2.10,2.14,2.03,2.14,117017,160
2016-02-26 00:00:00,2.14,2.40,2.14,2.29,337684,424
2016-02-29 00:00:00,2.29,2.52,2.25,2.40,638962,1078
2016-03-01 00:00:00,2.52,2.63,2.40,2.48,914648,2348
2016-03-02 00:00:00,2.48,2.59,2.25,2.33,1175794,978
2016-03-03 00:00:00,2.37,2.40,2.14,2.22,1060401,747
2016-03-04 00:00:00,2.25,2.33,2.07,2.18,1021892,1056
2016-03-07 00:00:00,2.22,2.22,2.10,2.22,175686,707
2016-03-08 00:00:00,2.22,2.33,2.10,2.29,666073,562
2016-03-09 00:00:00,2.37,2.63,2.29,2.48,2320057,6144
2016-03-10 00:00:00,2.74,2.85,2.44,2.48,1082372,672
2016-03-11 00:00:00,2.48,2.48,2.33,2.44,366552,969
2016-03-14 00:00:00,2.48,2.52,2.25,2.25,442344,587
2016-03-15 00:00:00,2.28,2.28,2.12,2.16,296901,466
2016-03-16 00:00:00,2.20,2.20,2.12,2.16,395869,343
2016-03-17 00:00:00,2.20,2.36,2.16,2.36,586596,1199
2016-03-18 00:00:00,2.36,2.44,2.24,2.32,469938,669
2016-03-21 00:00:00,2.36,2.36,2.24,2.24,452396,203
2016-03-22 00:00:00,2.24,2.28,2.16,2.24,331834,983
2016-03-23 00:00:00,2.24,2.24,2.16,2.16,260868,879
2016-03-24 00:00:00,2.20,2.24,2.12,2.16,535248,293
2016-03-28 00:00:00,2.16,2.20,2.12,2.16,670274,610
2016-03-29 00:00:00,2.20,2.32,2.16,2.20,1755535,1086
2016-03-30 00:00:00,2.24,2.28,2.16,2.20,515505,1830
2016-03-31 00:00:00,2.20,2.24,2.16,2.16,243377,680
2016-04-01 00:00:00,2.20,2.40,2.20,2.36,2929302,2177
2016-04-04 00:00:00,2.36,2.44,2.32,2.36,1673283,1229
2016-04-05 00:00:00,2.36,2.44,2.32,2.40,1908777,1285
2016-04-06 00:00:00,2.40,2.60,2.36,2.60,981564,1067
2016-04-07 00:00:00,2.56,2.60,2.32,2.36,1428630,1663
2016-04-08 00:00:00,2.56,2.88,2.52,2.88,1981595,832
2016-04-11 00:00:00,2.92,3.00,2.72,2.72,1923566,1009
